artifact,bytes,sha256
exports/dfm8_XL_step1650000_ema_hf/chat_template.jinja,16804,33204f1acb5bd0002713e16a593847f24ceeafe711ed88bda2a352dc996a3373
exports/dfm8_XL_step1650000_ema_hf/config.json,824,fd491e0fcdf9c49e77ab4fdc6cf6b487d08fbc744617b568eb956dd2077e40d1
exports/dfm8_XL_step1650000_ema_hf/model.safetensors,3573566200,8a83c8a0e6ad25b73c089c9c6f8b01969f1c6bd7db76a71ff85de861a95311a0
exports/dfm8_XL_step1650000_ema_hf/tokenizer.json,32170070,12bac982b793c44b03d52a250a9f0d0b666813da566b910c24a6da0695fd11e6
exports/dfm8_XL_step1650000_ema_hf/tokenizer_config.json,230,8d3761e269d1c80df50eb6667c11521cf42ba32b53cd5650e9b7c2c4975d68fe
