node_id,computed_status,is_root,required_children,affected_effective_sources
component:openhermes:camelai,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:caseus,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:chatbot-arena,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:cogstack,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:collective,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:cot-alpaca,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:econ,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:evol-v2,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:evol70,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:glaive,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:gpt4-comparison,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:gpteacher,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:lmsys1m,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:metamath,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:platypus,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:slimorca,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:teknium-custom,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:openhermes:unnatural,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct;hf:schneiderkamplab/dfm8-openhermes-da;hf:schneiderkamplab/dfm8-openhermes-en
component:sapient-factual:boolq,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-factual:coqa,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-factual:dream,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-factual:drop,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-factual:hotpotqa,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-factual:natural-questions,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-factual:quac,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-factual:race,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-factual:ropes,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-factual:squad,cleared,no,2,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-factual:triviaqa,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-factual:webquestions,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-factual:wikidialog,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-flan:cot,cleared,no,0,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-flan:flan2021,cleared,no,0,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-flan:niv2,cleared,no,0,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-flan:t0,cleared,no,0,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-platypus:arb,cleared,no,0,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-platypus:openbookqa,cleared,no,0,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-platypus:scienceqa,cleared,no,0,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-platypus:theoremqa,cleared,no,0,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-tasksource:licensed,cleared,no,0,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient-tasksource:residual,cleared,no,0,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient:amps-mathematica,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient:dmmath,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient:flan,cleared,no,4,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient:flan-factual,cleared,no,13,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient:platypus,cleared,no,4,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient:sudoku-extreme,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient:synth,cleared,no,1,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:sapient:tasksource,cleared,no,2,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
component:smoltalk:apigen,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:smoltalk:constraints,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:smoltalk:everyday,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:smoltalk:explore-rewrite,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:smoltalk:magpie,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:smoltalk:metamath,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:smoltalk:numina,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:smoltalk:rewrite,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:smoltalk:self-oss,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:smoltalk:summarize,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:smoltalk:systemchats,cleared,no,0,hf:danish-foundation-models/dfm-dyna-instruct
component:tulu-v2:flan-v2,cleared,no,0,hf:allenai/SciRIFF-train-mix;hf:allenai/tulu-v2-sft-long-mixture;hf:allenai/tulu-v2-sft-mixture
dataset:hendrycks/AMPS-mathematica,cleared,no,0,hf:sapientinc/HRM-Text-data-io-cleaned-20260515
generated:allenai:if-sft-constraint-response-layer,cleared,no,0,hf:allenai/IF_sft_data_verified
generated:allenai:tulu-v2-hardcoded,cleared,no,0,hf:allenai/SciRIFF-train-mix;hf:allenai/tulu-v2-sft-long-mixture;hf:allenai/tulu-v2-sft-mixture
generated:dfm8:synthetic-pipeline,cleared,no,0,hf:schneiderkamplab/dfm8-synthetic-code-debugging;hf:schneiderkamplab/dfm8-synthetic-constrained-format-following;hf:schneiderkamplab/dfm8-synthetic-danish-summarization-rewrite-controls;hf:schneiderkamplab/dfm8-synthetic-multiturn-danish-english-chat;hf:schneiderkamplab/dfm8-synthetic-native-tool-calling;hf:schneiderkamplab/dfm8-synthetic-strict-math-answer-contract
