document_sha256,occurrences,instruction_generation_rows,instruction_generation_ifeval_rows,languages,document_chars,content_group,marker_stratum,restrictive_notice,open_licence_marker,public_domain_marker,government_copyright_marker,copyright_marker,classification_tied,script_group,domains
03fc63a6e615e86d6a1c7bf15aca1840d5b93b759a6c389ed04ccad6fd1c9a18,2,2,0,English,4999,news/blog/general web,no_explicit_marker,False,False,False,False,False,False,latin_or_other,data.unicef.org
0401aed437b6f879ebf130891f1d7039c923790db13f6dc5f5ace0c2267ea59c,2,2,0,Portuguese,1773,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0467dd51b8583b8badd554fe37db2d05240cdbf654c4d05a0e07cda78cecf36c,2,2,0,Portuguese,1576,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0473d361e48c4fa208b7a372ae62139eca433eb0c82498362db7f92f38836d27,2,2,0,German,4822,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
047e7b6ebcede8fa0d107c671353a12e65012087917fa76c897184a15a626155,2,2,0,English,7078,government/legal/procurement,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
048b58492e89e71c2d2f9b05bfb7486450cb58a7b50a28add62ec97b475d15fe,2,2,0,Spanish,3062,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,educacion.laguia2000.com
0490d8bd516dd5a313436b8d78af33ccae1713fca3c048e2dccfbf4e6177c434,2,2,0,Portuguese,6278,scholarly/research,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
04cd93ff4cd879a4827386b14ffe47b273d55ba61496ec4bc3d166cf5e0f8fbe,2,2,0,Spanish,3957,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,elifesciences.org;eurekalert.org
04d3420c24e13f0b58741d92c9c256353f672e243f51d72f941902f1ff93084c,2,2,0,French,2426,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
04e017287ee1d67bd96acd3e7f0f6ead8b4dc8a98bc8a1b1c1e8c13dba8aa9cd,2,2,0,Spanish,2648,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
04fe05f41375235286d5cf33051b2587018a73e87e67d75bd1423d712d381a19,2,2,0,Portuguese,5913,government/legal/procurement,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
052ea03d1de00ba8e9e4d264f892292cf2a01b0fc1843b6a8f51f1cc69f43e47,2,2,0,Italian,2678,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
05414ec56a6d694dc56e8d2238e1cff9ad629ef18778c87f60a38a1b338cadb9,2,2,0,Portuguese,5065,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
057a1ed66f85e066e5acc2bd4beb0806ccbb1f55fd7385de0eeedd71e85d647e,2,2,0,English,5972,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
057afadd5913ea2a8cbcdc34b71289694db4ce1982bd14d7170bd5848ad4f9bd,2,2,0,Portuguese,9623,scholarly/research,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
0582da5fd92e1471022e540c5465b59bdf516bbf05e2aace224a7b91192a34e0,2,2,0,Italian,14559,unclassified/mixed,no_explicit_marker,False,False,False,False,False,False,latin_or_other,
